Date,Hour,Load,Temperature
9/17/2010,0,"4,724.08",
9/17/2010,1,"4,590.17",
9/17/2010,2,"4,499.50",
9/17/2010,3,"4,456.25",
9/17/2010,4,"4,357.67",
9/17/2010,5,"4,679.50",
9/17/2010,6,"5,224.83",
9/17/2010,7,"5,519.33",
9/17/2010,8,"5,597.58",64
9/17/2010,9,"5,658.42",66
9/17/2010,10,"5,682.83",66
9/17/2010,11,"5,697.25",67
9/17/2010,12,"5,684.17",69
9/17/2010,13,"5,650.08",69
9/17/2010,14,"5,624.17",69
9/17/2010,15,"5,625.83",69
9/17/2010,16,"5,637.00",67
9/17/2010,17,"5,683.67",66
9/17/2010,18,"5,697.42",66
9/17/2010,19,"5,777.17",66
9/17/2010,20,"5,742.58",65
9/17/2010,21,"5,569.83",66
9/17/2010,22,"5,451.83",65
9/17/2010,23,"5,118.33",65
9/18/2010,0,"4,824.50",64
9/18/2010,1,"4,638.33",63
9/18/2010,2,"4,506.58",63
9/18/2010,3,"4,446.67",61
9/18/2010,4,"4,450.08",61
9/18/2010,5,"4,545.83",60
9/18/2010,6,"4,720.33",61
9/18/2010,7,"4,755.50",61
9/18/2010,8,"5,066.00",61
9/18/2010,9,"5,271.25",62
9/18/2010,10,"5,352.50",63
9/18/2010,11,"5,475.00",64
9/18/2010,12,"5,538.42",65
9/18/2010,13,"5,501.25",65
9/18/2010,14,"5,465.33",66
9/18/2010,15,"5,428.08",66
9/18/2010,16,"5,494.42",66
9/18/2010,17,"5,553.33",65
9/18/2010,18,"5,627.50",65
9/18/2010,19,"5,767.67",65
9/18/2010,20,"5,725.75",64
9/18/2010,21,"5,512.58",63
9/18/2010,22,"5,181.83",63
9/18/2010,23,"4,916.83",63
9/19/2010,0,"4,688.00",62
9/19/2010,1,"4,525.92",62
9/19/2010,2,"4,423.25",62
9/19/2010,3,"4,373.00",61
9/19/2010,4,"4,348.67",61
9/19/2010,5,"4,432.92",61
9/19/2010,6,"4,579.50",61
9/19/2010,7,"4,585.92",62
9/19/2010,8,"4,898.75",62
9/19/2010,9,"5,119.08",64
9/19/2010,10,"5,254.67",64
9/19/2010,11,"5,315.50",67
9/19/2010,12,"5,281.42",70
9/19/2010,13,"5,239.92",69
9/19/2010,14,"5,160.67",71
9/19/2010,15,"5,181.42",70
9/19/2010,16,"5,193.08",69
9/19/2010,17,"5,292.75",67
9/19/2010,18,"5,397.42",64
9/19/2010,19,"5,566.00",60
9/19/2010,20,"5,511.50",61
9/19/2010,21,"5,241.42",60
9/19/2010,22,"4,994.42",60
9/19/2010,23,"4,640.75",60
9/20/2010,0,"4,445.25",60
9/20/2010,1,"4,337.58",59
9/20/2010,2,"4,301.25",59
9/20/2010,3,"4,298.33",59
9/20/2010,4,"4,443.00",58
9/20/2010,5,"4,807.00",59
9/20/2010,6,"5,376.25",59
9/20/2010,7,"5,586.00",59
9/20/2010,8,"5,629.67",60
9/20/2010,9,"5,642.92",61
9/20/2010,10,"5,667.75",63
9/20/2010,11,"5,620.08",64
9/20/2010,12,"5,625.00",66
9/20/2010,13,"5,582.83",65
9/20/2010,14,"5,438.08",64
9/20/2010,15,"5,442.08",65
9/20/2010,16,"5,433.17",65
9/20/2010,17,"5,532.75",64
9/20/2010,18,"5,632.92",62
9/20/2010,19,"5,847.17",60
9/20/2010,20,"5,802.75",59
9/20/2010,21,"5,528.17",59
9/20/2010,22,"5,321.08",57
9/20/2010,23,"4,902.42",57
9/21/2010,0,"4,661.08",55
9/21/2010,1,"4,548.92",55
9/21/2010,2,"4,489.25",54
9/21/2010,3,"4,468.58",53
9/21/2010,4,"4,594.67",54
9/21/2010,5,"4,988.75",54
9/21/2010,6,"5,635.50",53
9/21/2010,7,"5,765.17",54
9/21/2010,8,"5,706.25",55
9/21/2010,9,"5,659.92",57
9/21/2010,10,"5,630.92",59
9/21/2010,11,"5,558.83",62
9/21/2010,12,"5,514.75",65
9/21/2010,13,"5,486.25",66
9/21/2010,14,"5,446.17",66
9/21/2010,15,"5,414.92",68
9/21/2010,16,"5,394.17",67
9/21/2010,17,"5,424.33",67
9/21/2010,18,"5,538.08",65
9/21/2010,19,"5,790.67",62
9/21/2010,20,"5,803.00",62
9/21/2010,21,"5,550.42",60
9/21/2010,22,"5,315.83",58
9/21/2010,23,"4,994.00",58
9/22/2010,0,"4,759.83",57
9/22/2010,1,"4,653.42",56
9/22/2010,2,"4,615.83",54
9/22/2010,3,"4,630.08",54
9/22/2010,4,"4,756.83",54
9/22/2010,5,"5,165.75",53
9/22/2010,6,"5,572.33",53
9/22/2010,7,"5,883.83",53
9/22/2010,8,"5,815.33",55
9/22/2010,9,"5,729.50",56
9/22/2010,10,"5,655.50",58
9/22/2010,11,"5,581.42",61
9/22/2010,12,"5,554.33",61
9/22/2010,13,"5,512.83",66
9/22/2010,14,"5,464.33",68
9/22/2010,15,"5,432.58",68
9/22/2010,16,"5,450.42",68
9/22/2010,17,"5,537.33",68
9/22/2010,18,"5,590.33",67
9/22/2010,19,"5,860.75",63
9/22/2010,20,"5,863.08",60
9/22/2010,21,"5,587.25",60
9/22/2010,22,"5,420.50",57
9/22/2010,23,"5,037.33",55
9/23/2010,0,"4,758.25",57
9/23/2010,1,"4,645.58",56
9/23/2010,2,"4,594.75",55
9/23/2010,3,"4,596.42",54
9/23/2010,4,"4,690.17",54
9/23/2010,5,"5,052.25",54
9/23/2010,6,"5,433.08",55
9/23/2010,7,"5,720.33",56
9/23/2010,8,"5,685.58",57
9/23/2010,9,"5,669.25",57
9/23/2010,10,"5,672.58",57
9/23/2010,11,"5,659.58",58
9/23/2010,12,"5,656.25",55
9/23/2010,13,"5,603.33",56
9/23/2010,14,"5,566.83",56
9/23/2010,15,"5,521.75",58
9/23/2010,16,"5,484.08",61
9/23/2010,17,"5,602.58",61
9/23/2010,18,"5,745.50",60
9/23/2010,19,"5,969.17",59
9/23/2010,20,"5,874.83",58
9/23/2010,21,"5,620.33",57
9/23/2010,22,"5,464.58",57
9/23/2010,23,"5,112.33",57
9/24/2010,0,"4,840.58",56
9/24/2010,1,"4,709.83",55
9/24/2010,2,"4,621.33",55
9/24/2010,3,"4,609.33",51
9/24/2010,4,"4,713.75",51
9/24/2010,5,"5,078.42",52
9/24/2010,6,"5,385.58",54
9/24/2010,7,"5,686.17",55
9/24/2010,8,"5,669.25",56
9/24/2010,9,"5,663.33",59
9/24/2010,10,"5,618.67",63
9/24/2010,11,"5,544.83",64
9/24/2010,12,"5,505.17",67
9/24/2010,13,"5,448.08",68
9/24/2010,14,"5,395.42",70
9/24/2010,15,"5,357.92",72
9/24/2010,16,"5,341.50",73
9/24/2010,17,"5,369.83",72
9/24/2010,18,"5,392.33",70
9/24/2010,19,"5,547.17",65
9/24/2010,20,"5,485.17",63
9/24/2010,21,"5,320.75",61
9/24/2010,22,"5,268.17",60
9/24/2010,23,"4,939.50",59
9/25/2010,0,"4,690.42",59
9/25/2010,1,"4,562.33",57
9/25/2010,2,"4,489.92",54
9/25/2010,3,"4,465.33",54
9/25/2010,4,"4,507.83",52
9/25/2010,5,"4,672.67",51
9/25/2010,6,"4,946.08",52
9/25/2010,7,"5,247.92",54
9/25/2010,8,"5,511.00",57
9/25/2010,9,"5,615.92",61
9/25/2010,10,"5,316.17",65
9/25/2010,11,"5,285.92",68
9/25/2010,12,"5,243.33",72
9/25/2010,13,"5,181.58",75
9/25/2010,14,"5,189.67",77
9/25/2010,15,"5,231.33",79
9/25/2010,16,"5,297.08",79
9/25/2010,17,"5,349.17",78
9/25/2010,18,"5,327.17",74
9/25/2010,19,"5,488.17",74
9/25/2010,20,"5,376.17",67
9/25/2010,21,"5,204.08",66
9/25/2010,22,"5,161.58",66
9/25/2010,23,"4,869.50",64
9/26/2010,0,"4,619.50",62
9/26/2010,1,"4,450.67",63
9/26/2010,2,"4,434.42",61
9/26/2010,3,"4,398.25",62
9/26/2010,4,"4,385.92",62
9/26/2010,5,"4,489.92",62
9/26/2010,6,"4,662.17",62
9/26/2010,7,"4,914.92",62
9/26/2010,8,"5,206.00",62
9/26/2010,9,"5,168.25",62
9/26/2010,10,"5,276.17",63
