Date,Daily Load,Temp Low,Temp High
1/1/2007,"6,165.72",,
1/2/2007,"5,904.07",,
1/3/2007,"5,991.24",,
1/4/2007,"6,404.96",,
1/5/2007,"6,751.29",,
1/6/2007,"6,068.44",,
1/7/2007,"5,947.91",,
1/8/2007,"5,948.20",,
1/9/2007,"5,981.96",,
1/10/2007,"6,804.80",,
1/11/2007,"7,179.23",,
1/12/2007,"7,655.59",,
1/13/2007,"7,612.11",,
1/14/2007,"7,362.97",,
1/15/2007,"7,648.52",,
1/16/2007,"7,485.04",,
1/17/2007,"7,194.92",,
1/18/2007,"6,927.99",,
1/19/2007,"6,704.83",,
1/20/2007,"6,320.87",,
1/21/2007,"6,419.91",,
1/22/2007,"6,283.94",,
1/23/2007,"6,008.96",,
1/24/2007,"6,220.62",,
1/25/2007,"6,472.91",,
1/26/2007,"6,396.93",,
1/27/2007,"6,379.68",,
1/28/2007,"6,462.27",,
1/29/2007,"6,871.32",,
1/30/2007,"6,797.84",,
1/31/2007,"6,900.09",,
2/1/2007,"6,774.36",,
2/2/2007,"6,882.63",,
2/3/2007,"6,557.48",,
2/4/2007,"5,813.76",,
2/5/2007,"5,960.34",,
2/6/2007,"5,923.67",,
2/7/2007,"5,930.48",,
2/8/2007,"5,795.54",,
2/9/2007,"5,779.19",,
2/10/2007,"5,672.47",,
2/11/2007,"5,767.07",,
2/12/2007,"5,809.53",,
2/13/2007,"5,885.43",,
2/14/2007,"6,140.21",,
2/15/2007,"5,895.77",,
2/16/2007,"5,576.20",,
2/17/2007,"5,213.48",,
2/18/2007,"5,586.23",,
2/19/2007,"6,103.44",,
2/20/2007,"6,175.01",,
2/21/2007,"6,352.05",,
2/22/2007,"6,319.98",,
2/23/2007,"6,327.27",,
2/24/2007,"6,280.41",,
2/25/2007,"6,387.54",,
2/26/2007,"6,454.76",,
2/27/2007,"6,648.18",,
2/28/2007,"6,841.59",,
3/1/2007,"6,719.94",,
3/2/2007,"6,611.69",,
3/3/2007,"5,682.89",,
3/4/2007,"5,347.05",,
3/5/2007,"5,451.26",,
3/6/2007,"5,416.10",,
3/7/2007,"5,596.55",,
3/8/2007,"5,811.07",,
3/9/2007,"5,677.71",,
3/10/2007,"5,348.66",,
3/11/2007,"4,985.51",,
3/12/2007,"5,316.29",,
3/13/2007,"5,712.19",,
3/14/2007,"5,928.54",,
3/15/2007,"5,974.57",,
3/16/2007,"5,496.86",,
3/17/2007,"5,530.78",,
3/18/2007,"5,015.64",,
3/19/2007,"5,374.90",,
3/20/2007,"5,715.95",,
3/21/2007,"5,953.73",,
3/22/2007,"5,747.24",,
3/23/2007,"5,666.02",,
3/24/2007,"5,401.08",,
3/25/2007,"5,355.66",,
3/26/2007,"6,024.45",,
3/27/2007,"6,123.51",,
3/28/2007,"5,829.52",,
3/29/2007,"5,627.96",,
3/30/2007,"5,429.81",,
3/31/2007,"5,430.94",,
4/1/2007,"6,049.53",,
4/2/2007,"6,264.50",,
4/3/2007,"6,139.11",,
4/4/2007,"5,711.21",,
4/5/2007,"5,421.32",,
4/6/2007,"5,275.03",,
4/7/2007,"5,387.51",,
4/8/2007,"5,264.04",,
4/9/2007,"5,870.86",,
4/10/2007,"5,956.67",,
4/11/2007,"5,983.34",,
4/12/2007,"6,005.65",,
4/13/2007,"5,902.22",,
4/14/2007,"5,824.05",,
4/15/2007,"5,797.38",,
4/16/2007,"5,911.38",,
4/17/2007,"5,956.69",,
4/18/2007,"6,087.38",,
4/19/2007,"5,965.68",,
4/20/2007,"5,879.85",,
4/21/2007,"5,994.64",,
4/22/2007,"5,574.55",,
4/23/2007,"5,570.65",,
4/24/2007,"5,713.09",,
4/25/2007,"5,793.55",,
4/26/2007,"5,816.69",,
4/27/2007,"5,696.75",,
4/28/2007,"5,496.21",,
4/29/2007,"5,416.26",,
4/30/2007,"5,733.33",,
5/1/2007,"5,696.63",,
5/2/2007,"5,677.43",,
5/3/2007,"5,944.26",,
5/4/2007,"5,907.80",,
5/5/2007,"5,661.37",,
5/6/2007,"5,587.66",,
5/7/2007,"5,680.32",,
5/8/2007,"5,580.15",,
5/9/2007,"5,612.57",,
5/10/2007,"5,544.72",,
5/11/2007,"5,670.20",,
5/12/2007,"5,735.53",,
5/13/2007,"5,661.39",,
5/14/2007,"5,843.44",,
5/15/2007,"5,685.77",,
5/16/2007,"5,664.99",,
5/17/2007,"5,669.30",,
5/18/2007,"5,658.32",,
5/19/2007,"5,613.39",,
5/20/2007,"5,787.16",,
5/21/2007,"5,838.79",,
5/22/2007,"5,674.37",,
5/23/2007,"5,643.07",,
5/24/2007,"5,704.10",,
5/25/2007,"5,594.86",,
5/26/2007,"5,651.01",,
5/27/2007,"5,700.84",,
5/28/2007,"5,748.72",,
5/29/2007,"5,762.49",,
5/30/2007,"5,849.35",,
5/31/2007,"5,877.21",,
6/1/2007,"5,908.84",,
6/2/2007,"6,029.15",,
6/3/2007,"6,014.66",,
6/4/2007,"5,876.43",,
6/5/2007,"5,667.12",,
6/6/2007,"5,583.09",,
6/7/2007,"5,581.30",,
6/8/2007,"5,711.64",,
6/9/2007,"5,772.33",,
6/10/2007,"5,678.61",,
6/11/2007,"5,594.48",,
6/12/2007,"5,731.56",,
6/13/2007,"5,651.10",,
6/14/2007,"5,597.47",,
